School_Name,School_ID,AR_Type,FNSSTO5_1,BPSHE31_1_1,BPSHE31_2_1,BPSHE31_3_1,BPSHE31_4_1,BPSHE31_5_1,BPSHE31_6_1,BPSHE31_7_1,BPSHE31_8_1,BPSHE31_9_1,BPSHE31_10_1,BPSHE31_11_1,BPSHE31_12_1,BPSHE31_13_1,BPSHE31_1_9,BPSHE31_2_9,BPSHE31_3_9,BPSHE31_4_9,BPSHE31_5_9,BPSHE31_6_9,BPSHE31_7_9,BPSHE31_8_9,BPSHE31_9_9,BPSHE31_10_9,BPSHE31_11_9,BPSHE31_12_9,BPSHE31_13_9
"Alighieri, Dante Montessori",4321,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Mildred Avenue K-8 School,4671,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Boston Teachers Union K-8 Pilot,4661,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Condon K-8,4630,"=""K-8""",1,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Jackson/Mann K-8 School,4620,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Trotter K-8 School,4580,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Ohrenberger School,4410,"=""K-8""",1,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0
Murphy K-8 School,4400,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Eliot K-8 Innovation School,4381,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
McKay K-8 School,4360,"=""K-8""",1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
UP Academy Dorchester,4345,"=""K-8""",1,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Lee K-8 School,4290,"=""K-8""",1,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Mission Hill K-8 School,4285,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Curley K-8 School,4272,"=""K-8""",1,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Hurley K-8 School,4260,"=""K-8""",1,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Hennigan K-8 School,4230,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Haley Pilot School,4210,"=""K-8""",1,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Edison K-8 School,4178,"=""K-8""",1,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Lyon K-8 School,4171,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Gardner Pilot Academy,4160,"=""K-8""",1,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Greenwood Sarah K-8 School,4130,"=""K-8""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Orchard Gardens K-8 School,4680,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Young Achievers K-8 School,4600,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Perry K-8 School,4592,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobin K-8 School,4570,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Lyndon K-8 School,4331,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Umana Academy,4323,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren/Prescott K-8 School,4283,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Higginson/Lewis K-8,4242,"=""K-8""",,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0
Roosevelt K-8 School,4192,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
King K-8 School,4055,"=""K-8""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Hernandez K-8,4053,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Kilmer K-8 School,4033,"=""K-8""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattapan EES,4691,"=""K-5""",1,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
Quincy Elementary,4650,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Blackstone Innovation School,4640,"=""K-5""",1,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Baldwin Early Learning Pilot Academy,4621,"=""K-5""",1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Tynan Elementary,4590,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Philbrick Elementary,4561,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Sumner Elementary,4560,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
O'Donnell Elementary,4543,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Kennedy Patrick J. Elementary,4541,"=""K-5""",1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
Clap Innovation School,4531,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Russell Elementary,4530,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Haynes Early Education Center,4460,"=""K-5""",1,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
East Boston Early Education Center,4450,"=""K-5""",1,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
Ellison/Parks Early Education School,4440,"=""K-5""",1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
Adams Elementary,4361,"=""K-5""",1,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Otis Elementary,4322,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,
Manning Elementary,4311,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Kennedy John F Elementary,4270,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
UP Academy Holland,4250,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Higginson K-2,4241,"=""K-5""",1,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,
West Zone Early Learning Center,4231,"=""K-5""",1,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
Channing Elementary,4201,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Winship Elementary,4173,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Taylor Elementary,4151,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Everett Elementary,4140,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Mason Elementary,4121,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Hale Elementary,4113,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Mozart Elementary,4082,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Conley Elementary,4080,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Bradley Elementary,4062,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Perkins Elementary,4022,"=""K-5""",1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
Shaw Elementary,4670,"=""K-5""",,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
Kenny Elementary,4390,"=""K-5""",,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Mendell Elementary,4370,"=""K-5""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Academy,4291,"=""K-5""",,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
Harvard/Kent Elementary,4280,"=""K-5""",,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Ellis Elementary,4240,"=""K-5""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Grew Elementary,4200,"=""K-5""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley Street Neighborhood Charter,4123,"=""K-5""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Dever Elementary,4100,"=""K-5""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes Elementary,4084,"=""K-5""",,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Bates Elementary,4081,"=""K-5""",,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Chittick Elementary,4070,"=""K-5""",,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Guild Elementary,4061,"=""K-5""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Winthrop Elementary,4052,"=""K-5""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Beethoven Elementary,4030,"=""K-5""",,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,
Horace Mann School for the Deaf Hard of Hearing,4610,"=""K-12""",1,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
Henderson Inclusion School K-12,1140,"=""K-12""",1,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Boston Adult Tech Acad,1215,"=""Alt""",1,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Greater Egleston High School,1430,"=""Alt""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
ABCD University,1315,"=""Alt""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Collaborative High School,1311,"=""Alt""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Boston International/ Newcomers Academy,1990,"=""9-12""",1,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440,"=""9-12""",1,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Boston Arts Academy,1420,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Community Academy,1340,"=""9-12""",1,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
New Mission High School,1285,"=""9-12""",1,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,
West Roxbury Academy,1256,"=""9-12""",1,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Urban Science Academy,1253,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Another Course to College,1230,"=""9-12""",1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Snowden International High School,1200,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Boston Community Leadership Academy,1195,"=""9-12""",1,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Excel High School,1162,"=""9-12""",1,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
Burke High School,1120,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Community Academy of Science and Health,1103,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
English High School,1080,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
East Boston High School,1070,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Dorchester Academy,1064,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Charlestown High School,1050,"=""9-12""",1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Carter School,4261,"=""9-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Boston Day/Evening Academy,1410,"=""9-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
McKinley Prep High School,1293,"=""9-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Fenway High School,1265,"=""9-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Madison Park Technical Vocational High,1210,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon High School,1171,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Muniz Academy,1053,"=""9-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Brighton High School,1040,"=""9-12""",,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Frederick Pilot Middle School,2360,"=""6-12""",1,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0
