School_Name,School_ID,AR_Type,SSSSTO11_1,BPSP71.0
Kenny Elementary,4390,"=""K-5""",,
Mendell Elementary,4370,"=""K-5""",,
Adams Elementary,4361,"=""K-5""",,
Otis Elementary,4322,"=""K-5""",,
Manning Elementary,4311,"=""K-5""",,
Lee Academy,4291,"=""K-5""",,
Harvard/Kent Elementary,4280,"=""K-5""",,
Kennedy John F Elementary,4270,"=""K-5""",,
UP Academy Holland,4250,"=""K-5""",,
Higginson K-2,4241,"=""K-5""",,
Ellis Elementary,4240,"=""K-5""",,
West Zone Early Learning Center,4231,"=""K-5""",,
Channing Elementary,4201,"=""K-5""",,
Grew Elementary,4200,"=""K-5""",,
Winship Elementary,4173,"=""K-5""",,
Taylor Elementary,4151,"=""K-5""",,
Everett Elementary,4140,"=""K-5""",,
Dudley Street Neighborhood Charter,4123,"=""K-5""",,
Mason Elementary,4121,"=""K-5""",,
Hale Elementary,4113,"=""K-5""",,
Dever Elementary,4100,"=""K-5""",,
Holmes Elementary,4084,"=""K-5""",,
Mozart Elementary,4082,"=""K-5""",,
Bates Elementary,4081,"=""K-5""",,
Conley Elementary,4080,"=""K-5""",,
Chittick Elementary,4070,"=""K-5""",,
Bradley Elementary,4062,"=""K-5""",,
Guild Elementary,4061,"=""K-5""",,
Winthrop Elementary,4052,"=""K-5""",,
Beethoven Elementary,4030,"=""K-5""",,
Perkins Elementary,4022,"=""K-5""",,
Horace Mann School for the Deaf Hard of Hearing,4610,"=""K-12""",1,1.0
Henderson Inclusion School K-12,1140,"=""K-12""",0,3.0
Boston Day/Evening Academy,1410,"=""Alt""",1,2.0
Boston Collaborative High School,1311,"=""Alt""",1,2.0
Boston Adult Tech Acad,1215,"=""Alt""",1,1.0
Greater Egleston High School,1430,"=""Alt""",0,3.0
Community Academy,1340,"=""Alt""",0,3.0
Boston International/ Newcomers Academy,1990,"=""9-12""",1,2.0
Boston Arts Academy,1420,"=""9-12""",1,2.0
West Roxbury Academy,1256,"=""9-12""",1,2.0
Urban Science Academy,1253,"=""9-12""",1,1.0
Madison Park Technical Vocational High,1210,"=""9-12""",1,2.0
Boston Community Leadership Academy,1195,"=""9-12""",1,1.0
Burke High School,1120,"=""9-12""",1,1.0
Dorchester Academy,1064,"=""9-12""",1,1.0
Carter School,4261,"=""9-12""",0,3.0
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440,"=""9-12""",0,3.0
McKinley Prep High School,1293,"=""9-12""",0,3.0
New Mission High School,1285,"=""9-12""",0,3.0
Fenway High School,1265,"=""9-12""",0,3.0
Snowden International High School,1200,"=""9-12""",0,3.0
Lyon High School,1171,"=""9-12""",0,3.0
Excel High School,1162,"=""9-12""",0,3.0
Community Academy of Science and Health,1103,"=""9-12""",0,3.0
English High School,1080,"=""9-12""",0,3.0
East Boston High School,1070,"=""9-12""",0,3.0
Muniz Academy,1053,"=""9-12""",0,3.0
Charlestown High School,1050,"=""9-12""",0,3.0
Brighton High School,1040,"=""9-12""",0,3.0
Another Course to College,1230,"=""9-12""",,
UP Academy Boston,2450,"=""6-8""",0,3.0
Frederick Pilot Middle School,2360,"=""6-8""",0,3.0
McCormack Middle School,2190,"=""6-8""",0,3.0
Irving Middle School,2140,"=""6-8""",0,3.0
Timilty Middle School,2040,"=""6-8""",0,3.0
Edwards Middle School,2010,"=""6-8""",0,3.0
McKinley Middle,1292,"=""6-8""",0,3.0
Quincy Upper School,1450,"=""6-12""",1,2.0
O'Bryant School of Math & Science,1030,"=""6-12""",1,1.0
Boston Latin School,1010,"=""6-12""",1,2.0
Boston Green Academy,1470,"=""6-12""",0,3.0
TechBoston Academy 6-12,1460,"=""6-12""",0,3.0
Dearborn 6-12 STEM Academy,1260,"=""6-12""",0,3.0
Boston Latin Academy,1020,"=""6-12""",0,3.0
