School_Name,School_ID,AR_Type,PEPAIMO4_1,CSPAP1_1,CSPAP1_2,CSPAP1_3,CSPAP1_4,CSPAP1_5,CSPAP1_6,CSPAP1_7,CSPAP1_8,CSPAP1_9,CSPAP1_10,CSPAP2_1,CSPAP2_2,CSPAP2_3,CSPAP2_4,CSPAP2_5,CSPAP2_6,CSPAP2_7,CSPAP2_8,CSPAP2_9,CSPAP2_10,CSPAP3_1,CSPAP3_2,CSPAP3_3,CSPAP3_4,CSPAP3_5,CSPAP3_6,CSPAP3_7,CSPAP3_8,CSPAP3_9,CSPAP3_10,CSPAP4_1,CSPAP4_2,CSPAP4_3,CSPAP4_4,CSPAP4_5,CSPAP4_6,CSPAP4_7,CSPAP4_8,CSPAP4_9,CSPAP4_10,CSPAP5_1,CSPAP5_2,CSPAP5_3,CSPAP5_4,CSPAP5_5,CSPAP5_6,CSPAP5_7,CSPAP5_8,CSPAP5_9,CSPAP5_10
Lee K-8 School,4290,"=""K-8""",0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,45.0,45.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Lee Academy,4291,"=""K-5""",1,225.0,225.0,225.0,225.0,225.0,,,,,,90.0,90.0,90.0,90.0,90.0,,,,,,90.0,90.0,90.0,90.0,90.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,45.0,45.0,45.0,45.0,45.0,-999.0,-999.0,-999.0,-999.0,-999.0
King K-8 School,4055,"=""K-8""",0,140.0,160.0,180.0,170.0,170.0,170.0,160.0,170.0,170.0,170.0,60.0,60.0,60.0,60.0,60.0,30.0,30.0,20.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0
Kilmer K-8 School,4033,"=""K-8""",0,125.0,200.0,125.0,125.0,125.0,125.0,125.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,40.0,65.0,65.0,65.0,65.0,65.0
Kenny Elementary,4390,"=""K-5""",1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,120.0,120.0,120.0,120.0,60.0,60.0,60.0,-999.0,-999.0,
Kennedy Patrick J. Elementary,4541,"=""K-5""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,-999.0,-999.0,-999.0
Kennedy John F Elementary,4270,"=""K-5""",1,200.0,200.0,200.0,150.0,150.0,150.0,150.0,,,,70.0,70.0,60.0,60.0,60.0,60.0,60.0,,,,55.0,55.0,40.0,40.0,40.0,40.0,40.0,,,,80.0,80.0,40.0,40.0,40.0,40.0,,,,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,,,
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440,"=""9-12""",,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson/Mann K-8 School,4620,"=""K-8""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Irving Middle School,2140,"=""6-8""",1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,240.0,240.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,240.0,240.0
