School_Name,School_ID,AR_Type,SSSSTO2_4,BPSP66_8
College Bound Middle School,1365.0,"=""Alt""",1,
St. Mary's Alt. School,1370.0,"=""Alt""",1,
Harvard/Kent Elementary,4280.0,"=""K-5""",1,
TechBoston Academy 6-12,1460.0,"=""6-12""",0,1.0
Muniz Academy,1053.0,"=""9-12""",0,1.0
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440.0,"=""9-12""",0,1.0
Charlestown High School,1050.0,"=""9-12""",0,1.0
Brighton High School,1040.0,"=""9-12""",0,1.0
O'Bryant School of Math & Science,1030.0,"=""6-12""",0,1.0
Quincy Upper School,1450.0,"=""6-12""",0,1.0
Excel High School,1162.0,"=""9-12""",0,1.0
Boston Green Academy,1470.0,"=""6-12""",0,1.0
Boston International/ Newcomers Academy,1990.0,"=""9-12""",0,1.0
Edwards Middle School,2010.0,"=""6-8""",0,1.0
Boston Latin Academy,1020.0,"=""6-12""",0,1.0
Shaw Elementary,4670.0,"=""K-5""",0,1.0
Irving Middle School,2140.0,"=""6-8""",0,1.0
McCormack Middle School,2190.0,"=""6-8""",0,1.0
Dorchester Academy,1064.0,"=""9-12""",0,1.0
Boston Day/Evening Academy,1410.0,"=""9-12""",0,1.0
Boston Arts Academy,1420.0,"=""9-12""",0,1.0
Henderson Inclusion School K-12,1140.0,"=""K-12""",0,1.0
Lyon High School,1171.0,"=""9-12""",0,1.0
Burke High School,1120.0,"=""9-12""",0,1.0
Snowden International High School,1200.0,"=""9-12""",0,1.0
Madison Park Technical Vocational High,1210.0,"=""9-12""",0,1.0
Boston Adult Tech Acad,1215.0,"=""Alt""",0,1.0
Urban Science Academy,1253.0,"=""9-12""",0,1.0
West Roxbury Academy,1256.0,"=""9-12""",0,1.0
Frederick Pilot Middle School,2360.0,"=""6-8""",0,1.0
Fenway High School,1265.0,"=""9-12""",0,1.0
New Mission High School,1285.0,"=""9-12""",0,1.0
East Boston High School,1070.0,"=""9-12""",0,1.0
McKinley Prep High School,1293.0,"=""9-12""",0,1.0
Boston Collaborative High School,1311.0,"=""Alt""",0,1.0
ABCD University,1315.0,"=""Alt""",0,1.0
Community Academy,1340.0,"=""9-12""",0,1.0
UP Academy Holland,4250.0,"=""K-5""",0,1.0
Edison K-8 School,4178.0,"=""K-8""",0,1.0
UP Academy Boston,2450.0,"=""6-8""",0,1.0
Mozart Elementary,4082.0,"=""K-5""",0,1.0
Boston Teachers Union K-8 Pilot,4661.0,"=""K-8""",0,1.0
Mildred Avenue K-8 School,4671.0,"=""K-8""",0,1.0
Orchard Gardens K-8 School,4680.0,"=""K-8""",0,1.0
Kenny Elementary,4390.0,"=""K-5""",0,1.0
Mendell Elementary,4370.0,"=""K-5""",0,1.0
Guild Elementary,4061.0,"=""K-5""",0,1.0
Chittick Elementary,4070.0,"=""K-5""",0,1.0
"Alighieri, Dante Montessori",4321.0,"=""K-8""",0,1.0
Dever Elementary,4100.0,"=""K-5""",0,1.0
Hernandez K-8,4053.0,"=""K-8""",0,1.0
Hale Elementary,4113.0,"=""K-5""",0,1.0
Lee Academy,4291.0,"=""K-5""",0,1.0
Everett Elementary,4140.0,"=""K-5""",0,1.0
Taylor Elementary,4151.0,"=""K-5""",0,1.0
Winship Elementary,4173.0,"=""K-5""",0,1.0
Grew Elementary,4200.0,"=""K-5""",0,1.0
Channing Elementary,4201.0,"=""K-5""",0,1.0
Ellis Elementary,4240.0,"=""K-5""",0,1.0
Condon K-8,4630.0,"=""K-8""",0,1.0
Jackson/Mann K-8 School,4620.0,"=""K-8""",0,1.0
Horace Mann School for the Deaf Hard of Hearing,4610.0,"=""Alt""",0,1.0
Young Achievers K-8 School,4600.0,"=""K-8""",0,1.0
Blackstone Innovation School,4640.0,"=""K-5""",0,1.0
Greenwood Sarah K-8 School,4130.0,"=""K-8""",0,1.0
Lyon K-8 School,4171.0,"=""K-8""",0,1.0
Higginson K-2,4241.0,"=""K-5""",0,1.0
Haley Pilot School,4210.0,"=""K-8""",0,1.0
Hennigan K-8 School,4230.0,"=""K-8""",0,1.0
Higginson/Lewis K-8,4242.0,"=""K-8""",0,1.0
Warren/Prescott K-8 School,4283.0,"=""K-8""",0,1.0
Lee K-8 School,4290.0,"=""K-8""",0,1.0
Lyndon K-8 School,4331.0,"=""K-8""",0,1.0
UP Academy Dorchester,4345.0,"=""K-8""",0,1.0
McKay K-8 School,4360.0,"=""K-8""",0,1.0
Eliot K-8 Innovation School,4381.0,"=""K-8""",0,1.0
Russell Elementary,4530.0,"=""K-5""",0,1.0
Ohrenberger School,4410.0,"=""K-8""",0,1.0
Trotter K-8 School,4580.0,"=""K-8""",0,1.0
East Boston Early Education Center,4450.0,"=""K-5""",0,1.0
Murphy K-8 School,4400.0,"=""K-8""",0,1.0
